いないけど出身校だよ ( 市立高階中学校 [URL] ) #tspot,,,,,,
[USER] 髪切ってないから、めっさ長くて、部活中に引っ張らさって、抜けるのさwwwおまけに先輩にも抜かれるからさ..... あー、禿げるぅー（笑）,,,,,,
桜と喫煙所と俺 くるー先輩のトリビュート  @ 広尾公園 (Hiroo Park) [URL],,,,,,
おはようございます。片道の仕事だと思ってたら往復でした、ラッキー(駐車場にて待機),,,,,,
今日、明日は富士山麓24時間リレーマラソンに参加＼(^o^)／高速で移動中土日1000円じゃなくなっても高速こんでるなー。(@ 富士川楽座) [URL],,,,,,
有馬温泉きたぞ〜久しぶりに脚が伸ばせる風呂に入った✨次は宇宙に乗ってリラックスする [URL],,,,,,
とつぶやいたらドライトマトとトマトの酢漬けをサービスして頂きましたd(^_^o) RT [USER] シンプルキッチンなう♪ #skitchen [URL],,,,,,
いいね！RT [USER] 今日は兄弟仲が良い(^^) これも海のおかげかな(^^;; [URL],,,,,,
バイトおつ！そろそろ授業決めなきゃなぁ(ToT)きょんに会いたい！ 撮ってたビデオみてる(*^o^*)明日はね～…ふっふ～♡,,,,,,
箱根明か蔵、るるぶを見てきたけどなにも特典ない！店側は正規より200円引きといってるが。るるぶの持参、関係なし！ #箱根 #hakone,,,,,,
"日本の形がわかる。宇宙から見るとこんなに明るいんだ…。""[USER] 日本の夜景その２。九州と四国の大部分は雲のため残念ながらよく見えませんでした。 [URL]",,,,,,
いつも後悔する味 @ 中華食堂日高屋 葛西臨海公園店にタッチ！ [URL],,,,,,
オープンしましたよ(^^)   「ポテトほくほくグラタン」 #nagoya [URL],,,,,,
[USER] [USER] おったんって京都大作戦のdvdか！ちゃうよw今日は友達とお茶して、そのあと母親と合流なうU・x・U,,,,,,
お疲れビールyeah! (@ Brooklyn Parlor) [URL],,,,,,
最近、良く行くスーパー銭湯宴会場にて80歳代 のおばあちゃんが入浴後、カラオケ熱唱中。ええ〜声だしています。場内大活性。ちなみにここの受付〜マッサージ嬢皆さんオバハンばかりやん〜。（泣）,,,,,,
[USER] パンツ買ったぁ♡ 安いものはたくさんあるよ(^o^),,,,,,
能古島産の大粒のアサリで24時間かけて出汁を取った年に一度のメニューらしい。ウマすぎ。,,,,,,
お気に入りスポットらしく大王わさび農場へ。ここでもおひさまロケやっておりました。　 [URL]  [URL],,,,,,
所轄は無記名。やる気あるのかないのか。かたちだけの警告っぽい。 [URL],,,,,,
韓国に行く母と姉のお見送り。羽田の国際線ターミナルはじめて来た。 (@ 羽田空港 国際線旅客ターミナル (Haneda Airport Int'l Terminal) (HND/RJTT) w/ 10 others) [pic]: [URL],,,,,,
[USER] 今度の飲み会で伺うのを楽しみにしてます(^_-),,,,,,
注目は、エスプレッソ。砂糖をたっぷりいれて、クイッ、と飲む。イタリアで教わった。,,,,,,
新刊コーナーに買いたくなる本がいっぱい！でも読む時間がないから我慢… (@ 丸善 日本橋店) [URL],,,,,,
特急時間待ち (@ Caffè Ciao Presso) [URL],,,,,,
旅先のステキな出逢いに感謝を…。 次は東京で、ゼヒw [URL],,,,,,
[USER] もう一カップルもいますけどね(￣▽￣)    そして一泊と、、、,,,,,,
明日、明後日と試乗会を開催します！スズキのJACKとEXANTEとトーハツのTFW-25Bを試乗する事ができます！写真はスズキのボートです [URL],,,,,,
[USER] 詳しい内容知らないんだけど、何風船割りって⁈ 本当一部の人しか幸せになれてない(*｀へ´*),,,,,,
[USER] 違うよー！笑 平岩っちの親友だよー( ´ ▽ ` )ﾉ,,,,,,
Ajaxで下位のページを読み込む仕様なのにページの一番下に割と使いたいリンクがあるというジレンマ,,,,,,
[USER] フォローありがとうございます(*^◯^*)フォローしました(*^_^*),,,,,,
#人権救済機関設置法案反対 マスゴミは報道せず、国民の議論無く法案を通すなど、民主主義といえるのか？ マスコミが機能していない日本で、こんな法案通れば、気に入らない日本人は粛清されかねない。 韓国人の私の前で日本国旗を揚げるのは差別と、日本で日本国旗を揚げて逮捕されかねない。,,,,,,
やっぱり10時に寝ればちゃんと起きれるのだ。今日一日行けば休みー。,,,,,,
[USER] うん！アイポンから、パソコン覚えたての人みたいに打ってるよ(^-^),,,,,,
「今まで生きて来た中で1番幸せです」みたいな事を言ったんでしょうか？“[USER] F1サポーターズコンテスト決勝で3年目の挑戦で悲願の優勝を飾ったお二人です！おめでとうございました！！ #f1jp [URL],,,,,,
ソニーから中間配当金計算書が届きました。配当金いただきます(^〇^),,,,,,
いやぁ。。。酔い酔いだよ。 CDTV見ていつも思うが、もっと良い音楽が日本にはあるだろ！？ メーカーはじめ皆何やってんだっ！,,,,,,
[USER] マクド誘おうか？最近はかなりご無沙汰やけど、ウチにマクド星人おるし。,,,,,,
[USER] 俺来年看護実習あるんだが、その実習先に王子ある笑。都合合えば行く！,,,,,,
[USER] 借りれたら借りればw案外安いし(^-^)/あとはホテルの口コミとかみて名に必要か考えてね＼(^o^)／,,,,,,
盛り放題バーニャカウダwithキリンブラウンマイスター  @ 創作 Dining Bar BISTRO Kuu [URL],,,,,,
雪の代々木VILLAGE  @ 代々木VILLAGE [URL],,,,,,
ランチセット 1350円ランチなう。早いけど。 (@ 広東炒麺 南国酒家) [URL],,,,,,
いいカフェ見つけた。  CAFE  530ってとこー。Wi-Fiとんでるし、奥まったとこにあるから人も少ないしでまったりできるー,,,,,,
あたたかい春を満喫するアプリ～花粉対策アプリもあるよ！～ [URL] [USER] 花粉症の娘に確認できてｲｲかも。,,,,,,
おはよよよっ＼(^o^)／ 喉いってー 風邪の季節だね（ ; ; ）,,,,,,
[USER] でも、デザインがイマイチいただけないかなぁ。オーズが、デザイン良かっただけに。,,,,,,
[USER] 智春です(^-^)フォローしときました★暇あったらメールくださいね(^-^笑),,,,,,
午後から東京に遊びに行く予定だった私！　旦那が11時頃出て、世田谷の取引先の展示会に行くというのでお願いして乗せていってもらういことに！　２日間の駐車場代と片道電車賃が浮いた！ラッキーo(^▽^)o,,,,,,
[USER] 喜んでくれればいいけど。。。じゃあ聞いてみてくれる？,,,,,,
うちもおくゆみさんに会いたいよ でもいつも忙しそうだから… １２月もきっと全部埋まってるよね？,,,,,,
軍放出品がやっぱ丈夫でお買い得すぎる.N3-BとGORE-TEXブーツにBOX買ったら大量にオマケしてくれた. [URL],,,,,,
ようやく！体調が回復した気がするる！、体操も違和感なくこなせるようになってきた。,,,,,,
今日2限おんり～(⌒▽⌒)  理系にはめったにないはっぴーな金曜(⌒▽⌒)その後はさやかと新宿デート(⌒▽⌒)最近道後と遊ぶ率たかくて高まるわ♡,,,,,,
みんなもっともっと 魅力的になってまた、話そうね。 でも、今のままの 変わらないみんなでいてね！ それでは、行ってきます。 僕は今、とても幸せです。 ありがとう(^^) [URL],,,,,,
vitaが沢山のこっていた (@ ゲオ 戸越公園店) [URL],,,,,,
ジャーマンチョコレートケーキ、おいしいよ！ [URL] [URL],,,,,,
[USER] [USER] いこうず！！！しかし酔っ払ったわwww,,,,,,
知ってます！子供ながらに、あのCMのインパクトは強烈で、学校で歌ってました。その後、中学の公民の授業で再会！www当方34歳。某企業人事です。RT[USER],,,,,,
任天堂の「wiiの間」というサービスの懸賞に当選してました。 25万名様だったので当たる確立の方が多いのでしょうか? 何はともあれ嬉しいです。 [URL],,,,,,
[USER] さかぐっちゃんには絶対買ってくる!!何がいい？？✨,,,,,,
[USER] フォローありがとうございます。よろしくお願いします＠ 'ェ' ＠あのー質問なんですが、どうして本庄に住んでたってわかったんですか？,,,,,,
[USER] 昨日来たよぉf^_^;)英語わかんなぃからなんじゃ～って思ったぁぁぁ！(◎_◎;),,,,,,
ツーバーナー下さい(￣▽￣) (@ WILD-1 多摩ニュータウン店) [URL],,,,,,
あーやばい、バイトから帰ってきて今までこたつで寝てた(￣ー￣)布団で寝たかった 泣,,,,,,
[USER] おつかれさまでしたーーー！！！ 明日もよろしーーーー,,,,,,
はらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへはらへ,,,,,,
小沢一郎の無罪？仕方ないかな 司法の場は無罪でしたが、次は、国会にて国民し説明を、政治家ですので証人喚問。元秘書の方も……,,,,,,
[USER] iphone持ってる人はipad2の基本料金が¥0になるよ。,,,,,,
[USER] 子供の成長を会えない人に見せられるから年賀状はいいかな～と思ってます。お歳暮はやめたい。。僕の実家はやめたのに妻方の実家が考え古いので・・・。,,,,,,
[USER] 前回は旦過市場の乾物屋が映ってたよ。日本一の昭和な風景だ(^^),,,,,,
今日は、自身2回目の石巻市へのボランティア。今回は、無事に起きた！…運転手兼任だしね(苦笑)被災地の映像を見る時もそうだが、自分自身の浄化になるんです。…そう思うと、いかに自分の環境が恵まれているかを再確認出来ます。,,,,,,
生徒に声かけられた、ビックリした (@ 中野通り) [URL],,,,,,
やる気スイッチ君のはどこにあるんだろ〜 見つけてあげるよ！君のやる気スイッチ〜♪   誰か見つけて〜(￣◇￣;),,,,,,
[USER] こちらこそ、ヨロシクお願いします。hpの写真blogに使わせてもらいました。不都合がれば削除しておきます。,,,,,,
雪の箱根神社 #ima_sora   @ 箱根神社 [URL],,,,,,
今日のフードはけむりカレー  @ Studio Z [URL],,,,,,
お菓子とモンブランをかいに..... (@ サミットストア 五反野店) [URL],,,,,,
俺は腐った人間だ。  それでも、さやは変わらない愛を注いでくれる。こんな俺なのに…  だぃすきだょ。 ごめんね？ ありがとう。,,,,,,
[USER] どした(´･ω･`)？全然話し聞いてない(ﾉД`),,,,,,
[USER] ゆみちゃん…♡当分ゆうのろけちゃうよー♪(´ε｀ )ぷ,,,,,,
ソニーのウォークマンの事をコンビニ店員に聞くな！わかるわけない！ただ一つ言えることはiTunesカードは絶対対応してないぞ！(笑),,,,,,
またの機会に♪“[USER] [USER] [USER] すみません。行きたかったのですが、行けなくなっちゃいました。”,,,,,,
[USER] マジっすか。寒そうですね。クリスマスイブにそちらに旅に行くのですがかなり着込んでいかないと駄目ですか？,,,,,,
#NowPlaying 想い出がいっぱい - 日本　MINMI  GLAYは1曲で飽きたwミンミのカバー曲なう。,,,,,,
▼計測地点:ヤマダ電機TL各務原 ▼データ測定結果(WiMax) 下り:1.87Mbps 上り:0.35Mbps [URL],,,,,,
[USER] ウィルス性の腸炎でした。急に熱が38℃まであがったから、本人もビックリしたみたい。滅多な事で弱音を吐かないから、僕もビックリしちゃった(^^ゞ,,,,,,
ライム&ミント グリーンティー フラペチーノ…やっぱりスタバはコーヒー以外はダメだなぁ(;_;) (@ Starbucks Coffee 新宿西口店) [URL],,,,,,
ヤマザワライズ店で買い物 #yamagata #nakayama,,,,,,
わー、、雪がこんもりと積もっとる(¦3 < 秋田県秋田市楢山城南町４−２８,,,,,,
秋のもつ鍋！たくさんのキノコ達を入れてみました！醤油ベースのスープに最高です。 [URL],,,,,,
再生可能エネルギー法案も通ったけど、バイオマスはどうなるのだろう？,,,,,,
[USER] 昨日はおつでした♪寝落ちしちゃってすいませんでした(≧Д≦),,,,,,
[USER] 今スタンドにいた？ 今から仮店舗へむかってます。,,,,,,
いいえ どういたしまして(^O^)／“[USER] [USER] 私のためにありがとう～(笑)”,,,,,,
目前の現実以上の現実はないさ。RT [USER] 「世界報道写真展２０１１」＠東京都写真美術館、観てきました。それぞれの現実、それぞれの生。いろんな思いを抱えて考えて、でも、帰りにはお腹がすいておいしいご飯を食べて、おいしい食材を買って。これが私の現実、私の生。,,,,,,
朝から霊柩車　バスの運転手さんチラ見したら、運転手さんも親指隠してた(*´∀｀*) ちょい萌える,,,,,,
体長1メーターのオオサンショウウオが、昨日やなにかかったらしい。 [URL],,,,,,
DOUTOR 奈良県立医科大学附属病院店にタッチ！ [URL],,,,,,
ツダケンのNZレポートvol.4 [Winter Games ハーフパイプ結果！] | トビジブch | BravoSki.com [URL],,,,,,
なんだかいけそうな気がする～～。あると思いますww RT [USER] 今日の商談行けるべ！動いたらおもろくなるな(^_^)v,,,,,,
禿同♪(´ε｀ )“[USER] 人間も動物だから、愛する異性とセックスして、子を生み、育てる、という以上の幸福は存在しないのだよ。何百万年も前から変わらない。”,,,,,,
西穂高に行ってきました。今回は連れの体調から独標まででしたが、天気に恵まれ最高の山行でした (･∀･),,,,,,
事務所に一人ぼっちになっちゃったから、そろそろ仕事切り上げて帰ろっかな,,,,,,
[USER] いーよ⊂((・x・))⊃何で検索したらでてくる？( ´ ▽ ` ),,,,,,
さっき5分以内に出来ることを、後回しにするとこだった。やって良かった、簡単な事だからこそ仕事の上流にあるんだよなって、気付いた。 これは続けよう、大事だ！,,,,,,
フェラーリと自由とは、どっちが尊く楽しいのだろう？ 高価な都心のマンション住まいと、日々好きな場所に出向けることは、どっちがいいんだろう？ たかしろつよし,,,,,,
ドライバーでボールを見てしまうと、振ろうとする気持ちから一転、強くぶつけて遠くへ飛ばすという悪い気持ちが未だに続くのは練習不足ゆえ。。。,,,,,,
これから、一人で吉祥寺行こうか迷う。 ご飯食べたいけど、怖くて行けない(ﾟoﾟ;;笑,,,,,,
嫁誕生日を鹿児島で勝手に祝う  @ トラットリア・オーリオ [URL],,,,,,
ただいま (@ 神田明神 (Kanda Myojin)) [URL],,,,,,
夜勤、忙しかったヽ(；▽；)ノなんで患者さんたち、こんなに状態が落ち着かないんだろうって思ったら、今日は大潮だった…。 仮眠取れず、朝ごはん食べれず。。でもやっと帰れるー！,,,,,,
やたら喉渇くけど、相変わらずおっぱいたゆたゆ…乳出てんのかな…(´｀)てか左右大きさ垂れ具合違う気がする…,,,,,,
渋谷、原宿を攻めて買い物に来たけど、なかなかこれきゃわうぃーねっ！ってものに出会えない＼(^o^)／,,,,,,
"XMDF、PDF、ePub、.bookかな。青空は読めるよ。""[USER] SonyReaderって、いろんなフォーマットに対応してる？どれで何が読めるか良く判んないだよね RT [USER] 今年70になる父 どんな感想を持つか興味深い""",,,,,,
今日もいい天気。 It's also fine weather today. Il fait bon aussi aujour d'hui. 오늘도 날씨 좋아요. 今天还是晴天吗. [URL],,,,,,
あけましておめでとうございます！  明日5日から営業します。ただいまキッチンにて仕込み中です〜 [URL],,,,,,
注文した間に餃子の皮買いに廣記商行に。ウェイパーのお店だn…ってきゃぁぁっぁぁぁ [URL],,,,,,
おしゃかしゃまキター！  いったいどうなってるダビンチ♪───Ｏ（≧∇≦）Ｏ────♪,,,,,,
新東名のSA / NEOPASA駿河湾沼津(下り線)にイマココ! [URL],,,,,,
帰ったらケンプファー弄るか…まだカラーリング変えるだけ、と思ってたけど考えれば考えるほど改造したくなってくる,,,,,,
[USER] 一年生が一年生だよーって言ってたからそうなんだと思ってたけど？,,,,,,
今日は朝から夕方まで (@ 産科婦人科 舘出張 佐藤病院) [URL],,,,,,
結局、ラーメン食べたけど、お腹いっぱいすぎて立てない。。。長居しちゃってるわー。海老名なう。,,,,,,
アンガールズの田中似の奴からクレームくらった(−_−＃)キモイ顔で怒鳴られても申し訳なさもないわΣ（ﾟдﾟlll）,,,,,,
アメリカの食事はチーズぶっかけばっかりだったなぁ。日本食美味しいよ…煮物とか刺身とか鍋とかさ。季節の食べ物があるって素敵。,,,,,,
そういえば気が強い。葬式でもキレるタイプ“[USER] [USER] [USER] 犬好きの女はSです。はい。”,,,,,,
ふらっと (@ アップルストア 渋谷 (Apple Store Shibuya) w/ 4 others) [URL],,,,,,
日野まで動くらしい。四十分待ったけど、まあマシな方かな。日野から歩くか悩むな。,,,,,,
予想外に疲れが…、今日悪酔いしたらすいません。日がのぼってくるよ、おい [URL],,,,,,
ああ、今日は琵琶湖の花火大会☆行きたかったぁ(*_*)休みにしてたのになぁ(>_<)来年はしっかり行きます！,,,,,,
[USER] [USER] あっ、ボス！今でも近寄るのガクブルでやんす(゜ロ゜))誰に？,,,,,,
昼休みプチツーリングで木場潟。暖かくなってきた。 もうすぐ春ですね。石川県小松市今江町に４１,,,,,,
[USER] そんな方がいらっしゃったことを誇りに思いますし、忘れないで生きていきたいと思います。,,,,,,
[USER] ＣＳＫＡ本田「リハビリ頑張ってます」 [URL] 頑張れ！！,,,,,,
来週、我が家で研修した大学生二人が、アメリカファームステイに出発します。２ヶ間渡米して、ワシントン州の日系有機農家さんで無給で働かせて頂きます。二人の為に多くの皆さんにお世話になっています。アメリカの農場で働くって事は特別な事です。どんな事にも感謝して、頑張って来て欲しいです！,,,,,,
[USER] え？いま、おは？(^-^;…でもgood morning ☆,,,,,,
朝ラン終了なう。神戸市北区は雲～晴れ。 【Run&Walk】2011/11/08 05:15, 8.02km, Time 54:07, 565kcal, [web][URL] #RunWalk,,
今日はいろんな転機を、みてきました(T ^ T)We are risng sun [URL],,,,,,
よしのや食堂のソースカツ丼、いただきまーす！ これ食べるために朝抜いたし、東山温泉まで1時間くらい歩いたww [URL],,,,,,
承前）この『婆娑羅』を訪ってあらためて気づいたが、やっぱ所謂居酒屋や“センベロ”ブームっつってもTPOってあるな。例えばいきなり秋津『野島』や国道『国道下』に免疫の無いご婦人を連れてっても云々ってハナシだろう。ま、大事なのは視点と身体体験と、愛の交歓（笑）かな。,,,,,,
東京マラソン前で人の足元見てるホテルに予約してしまいました。ビジホなのに今日だけクソ高い。 @ JR両国駅にタッチ！ [URL],,,,,,
今日は [USER] とUSTREAMの撮影。 ゲストは [USER] とティッさん,,,,,,
寝過ごして、気付いたら(← (@ JR 長野新幹線 軽井沢駅) [URL],,,,,,
[USER] 他になに習おうかなーどのジャンル強化してほしい??やっぱOld school極める??笑,,,,,,
今日は、つか昨日は充実した１日だった。家から１時間ちょいの場所が銀世界でしたo(^o^)o [URL],,,,,,
フレイさんってどんな人？→「バスケうまそう」「すげー熱帯魚っぽい」「ありえない」「マジでありえない」「ホントにありえない」 [URL]   やったぁ&#39;すげー熱帯魚っぽい,だってぇ！ ヽ(；▽；)ノ,,,,,
16:00までだったは・・・ @ 翠楽苑にタッチ！ [URL],,,,,,
今回、カメラをなくすというアクシデントもありましたが、ツイ用に携帯でも少し撮ってあったので30枚くらいは、写真が残ってました。よかった～(￣▽￣;),,,,,,
大アサリや～(=´∀｀)人(´∀｀=) | [トイフォト] [URL] #penpic,,,,,,
今日の撮影は、悪天候のため明日に延期となりました。若大将に雨は似合わない！晴れますように！ [URL],,,,,,
本日の芝刈り終了、帰宅なぅ。超〜日焼け。スコアーは・・・、暑さで集中力途切れ、46   61 ダメだこりゃ。 (@ 海ホタル) [pic]: [URL],,,,,,
神戸電子声優タレント学科卒業生の里道です。(イヤラシw)インターネットラジオステーション「響」の番組、『兼田恵のビギナーズラジオ』という番組に出演させて頂きました。更新日は7月18日でーす。是非是非聞いてください。hibiki-radio.jp/description/kb,,,,,,
[USER] おはよー(*´ω｀*)今からイオン与野行くからね( ´ ▽ ` )ﾉ,,,,,,
いつの間にか家の車がカムリになってたwww 死ぬほど運転しやすいww,,,,,,
今日の給食・カレーライス、カリフラワーノーのサラダ・・・カリフラワーのサラダってなんじゃい(゜皿゜；；主がカリフラワーのサラダとか絶対食べたくねぇ…( ノД`),,,,,,
フクシマ日記さん、しばらく読んでませんでしたが、いつも強い気持ちで、現実を 直視されています [URL],,,,,,
[USER] すいません。ついさっきアベさんから忘年会のこと聞きました。盛り上がりましたか？藤木直人って好感度高いんでしょうか？似てないけどw まぁ清水圭の方が言われますがww,,,,,,
ここの救急佐々木さん呼び出しおおすぎ！俺を含めて三人も佐々木さんおるぞ！佐々木祭りか⁈,,,,,,
[USER] フォローすみません！ 初心者ですがよろしくお願いします！,,,,,,
あまり彼女と連絡のキャッチボールは出来てないけど、好きって気持ちにブレは無い。,,,,,,
Strawberry Yogurt Latte :)) [URL],,,,,,
[USER] 僕は国立受けたから、試験は終わったお(*´д｀)   はーい れりーって呼んじゃう(・ω・),,,,,,
ねぇ！ボクちゃんと世話もする・・・家の手伝いもするからさぁ！！                         照英飼ってもいいでしょ！？,,,,,,
即日修理！30〜40分で修理完了します。 @ iPhone修理屋　東京江戸川店に写真つきタッチ！ [URL],,,,,,
かまくら館前のケヤキ通りもだいぶ紅葉に。 #yokote   @ かまくら館 [URL],,,,,,
ついでにアドレス帳から勝手に消えた、Hさん、Sさんのデータも復活。意味不明。,,,,,,
都立荏原病院でMRI検査なう。3テスラのMRIでの造影検査、初体験 (^_^;),,,,,,
モテキ！ヤバス！森山未來くんはかっこよすぎやし、長澤まさみは可愛すぎやし、久しぶりにヒットしたあああああ♥♥♥色々かむばらねば。。,,,,,,
お昼 (@ ららぽーと横浜 w/ 11 others) [URL],,,,,,
美容院行ってきました-!すっきりしたところでお腹がすいたので､原宿にある金魚鉢でﾗﾝﾁ!写真は､冷やし豚の梅ｻﾞｰｻｲおろしﾎﾟﾝｽﾞです☆ [URL],,,,,,
[USER] やっぱり、、、 かなりお涙ちょうだい的でしたから,,,,,,
角煮みたいなチャーシューが3つもo(^▽^)o ちなみに醤油チャーシューです！ [URL],,,,,,
沖縄は梅雨入りだとか　こっちはやっと桜が見頃になったというのに...,,,,,,
[USER] [USER] ちょっと予定確認するわ～！ 待ってて！,,,,,,
奈々と奈々Jrに会ってきた:-)ｽﾔｽﾔ寝てたわよ～☆ [URL],,,,,,
[USER] おちかれー(^-^)/あたしもちょこちょこ夜は見てた(^^)主人はイモトのが見たかったみたい(^^;;あたしは大野くんとこだけ録画してきたので帰ってから見るのが楽しみです～(#^.^#),,,,,,
[USER] お昼ー。そしてコンビニきてます！何を食べようかなぁ（＾∇＾）,,,,,,
ただいま大学に戻った。1時間30分で帰ったから順調。ｖ（＾＿＾ｖ）♪,,,,,,
神戸なう  自分のゴミ加減に圧倒されて劇落ち込みなので一人でお好み焼き焼きに行くわ,,,,,,
[USER] [USER] さんきゅー！もっともっといい男になる輪‼,,,,,,
ʅ(‾◡◝)ʃ @ 資さんうどん 葛原店にタッチ！ [URL],,,,,,
訪問診療なう。ｲﾏｺｺ L:静岡県浜松市南区新橋町４１０－１０,,,,,,
あ～GW短いわ。明日から、また、遠い学校まで、通うのか。めんどくさっ。楽しいけど。行くまでがだるい。,,,,,,
[USER] そうですね、あくまで僕の推察ですが、二ユース等では室外室内の割合まで知らされないのでなんとも言えませんね。,,,,,,
店長は気を遣ってハモ大盛にしてくれたが、僕的には下にあるサラダか味噌汁の大盛だと嬉しい  @ 渋三 吉成 [URL],,,,,,
週イチ京都曜日ヽ(●´3`●)ﾉ (@ 新開地駅 (Shinkaichi Sta.)) [URL],,,,,,
王子駅 ホームにて | [ポップアート] [URL] #penpic,,,,,,
今から東京へ。ana のボーイング787でいきます！(￣^￣)　楽しみや～！(笑) [URL],,,,,,
酒飲んで日焼けしてからの散髪ナウ♪(´ε｀ ) (@ Hair Design Patio) [URL],,,,,,
WORLD TRIPPER2 PHOTO EXHIBITION (@ POINT WEATHER) [URL],,,,,,
♬ 'Rock'n'Roll Radioが消えた街' - 横道坊主 ♪,,,,,,
花粉で眼がやられた…。メガネはかけなれてないからしんどいし…。花粉対策のコンタクトレンズがあればいいのに(ﾟДﾟ),,,,,,
昨夜はワインとタパだけだったので、ガッツリと石焼きビビンパ大盛(^q^) [URL],,,,,,
双子座流星群みれて感動☆*:.｡. o(≧▽≦)o .｡.:*☆,,,,,,
美容院だん。大分切ったぞ。頭がかるくなりました(￣ー￣)今朝、自分の髪が巻き付いてて暑くて目が覚めた。。。限界を感じました。 (@ 西武百貨店 渋谷店) [URL],,,,,,
[USER] 798面白いけど、北京の東側で観光ルートから外れてるから、しっかり路線決めた方がいいよー  まぁ、タクればいいけどね笑,,,,,,
アキバですぜ (@ JR 秋葉原駅 (Akihabara Sta.)) [URL],,,,,,
サヤさんと喋ったぜ   まぁうそだけどな  ツイートした理由は聞かないで,,,,,,
昼飯及びトイレ休憩 @ 岸和田SA・上り (松原JCT・近畿道・西名阪道方面)にタッチ！ [URL],,,,,,
Wi-Fiにつなぐ間もなく発車 (@ 新千歳空港駅 (AP15)) [URL],,,,,,
[USER] まだ決めてないんやけど、 明日盛岡に行って帰ります( *｀ω´) ！,,,,,,
[USER] シンガポールの写真でおーちゃん発見して癒されたでーﾎｶﾎｶ,,,,,,
アプリで見ると卵でも ネットから見ると写真に更新されてる。 おかしいな〜,,,,,,
カーテン？毛布？みたいな布を被るのが女性の間で流行っているのかな？,,,,,,
おいしかった！食べれないと思っていたのにやっぱり食べちゃうよね～♬明日、旅行最終日！あっというまだね(>｡<),,,,,,
「10年後の預金通帳」　山本雄太 様　【残高】 ￥87,772 [URL]   今と対して変わりないな…,,,,,
月には殺人ハイボールの味を忠実に再現した「KAGAYA」っていう裏メニューがあるんだよ。 [URL],,,,,,
ポイビなう(^-^)/  しいたけの肉詰めかと思って来たら、今日はサーモンフライのタルタルソースだった(・・;),,,,,,
でも、とりあえず三田。一駅ってこんなに長いんだ。そして、こんなに見たことない風景があったのかと。。,,,,,,
だいぶ遅刻して到着！ (@ アプローズタワー w/ [USER] [URL],,,,,,
[USER] 寝てた(；´Д｀)ごめーん･･･もうお金ヤバスなのでしばらく行けない(笑),,,,,,
[USER] 好きなのはハマー1.クライスラー300c.ダッジラムバン.とかかな(^^),,,,,,
ようやく新宿。 (@ JR 新宿駅 w/ 3 others) [URL],,,,,,
今夜はオカンとゆっくり外食。この前見つけた甲子園球場の近くにあるお店。 [URL],,,,,,
勝手やなぁ。自分がやっている事と同じ事をされたら怒るって、どうなん？  自己中心的やと思うよ。  人にだけ要求しないでよ。,,,,,,
なんかほぼまいにちスタバ(･ω･) しあわせだがお金が減る一方である。 あきちゃんがスタバのバニラシフォンにはまる。経験値が2上がった。←,,,,,,
今日は久しぶり西東京へ (@ JR 新宿駅 w/ 3 others) [URL],,,,,,
うーん。これから5日ぶりの出社だ。 メール開きたくねえな。 引っ越し先も探さなきゃ(´Д` ),,,,,,
[USER] [USER] [USER] [USER] [USER] 逆に空いてる日へこちらが合わせますよ,,,,,,
☆新品☆ MXR M78 【CUSTOM BADASS】 &#39;78 distortion [URL] このエフェクターっていいのかな?,,,,,,
[USER] 白井オーナーがいるうちは大丈夫だ。まあ原も代わりが思いつかないから大丈夫と思うが。,,,,,,
[USER] やりたいことはあるんですけど、就職した先でやることとはまた違ったことなのでなかなか踏み出せません(TT),,,,,,
これまじか！！！！まさしく俺のためみたいな本だな！！買うしかない！！目次みたけどやばい！これはやばい！オライリーさん流石っす！！「Cooking for Geeks――料理の科学と実践レシピ」 [URL],,,,,,
[USER] ○o｡..:*･(uωu人)ぉゃすみ･*:..｡o○,,,,,,
[USER] #ushikuガンバツてね 、一緒に、ご飯どう！,,,,,,
24時間マラソンはいつから耐久制になったの？ 休憩のたんびに徳光をクソ芸能人達がゴマすりすりしながら盛り上げてるのを見てたら今の日本そのものだと感じた。次の日になってから、実は…足に不安が…   アホくさ！  結局キレイに終わる様に構成しているのが見え見えだった。くだらない！,,,,,,
[USER] まず子供好きってとこがポイント高いd(^_^o)wあと料理できればテンション上がる(*^^*),,,,,,
80代くらいのおじいさんがＡＶ借りてた。男だ！まさに帝国男児！,,,,,,
家族で【スシロー】NOW！ すでにいっぱい！(T_T) [URL],,,,,,
新大阪到着ー( ´ ▽ ` )ﾉやっぱ都会やし、何より言語が違う（笑）  [URL],,,,,,
元気もらった。なんか、田舎の子すごーく素直でしっかりしてて、自分の子供もこんなふうになってほしいと思った！ずーっと一緒に散歩して、これから前森！ [URL],,,,,,
仕事のこと考えると、やりたいことは多いのに、実現できなくて悔しい!! そして今眠れません,,,,,,
今日は天気ええなあ。快晴すぎる。◯◯びより。今から新横浜に行ってきます,,,,,,
小テストの意義は自らに戒めを与える事である。即ち、例え無勉でも受ける事に意義がある。,,,,,,
[USER] 夢が叶いますように☆億万長者！！窓口はあえて本山番号にしました！！,,,,,,
日曜日テニスレギュラー戦だ またあの人が選んだ日だ ぜったい雨だな(笑),,,,,,
[USER] ありがとうございます。これからもよろしくお願い致します。,,,,,,
